# Snapshot taken on Thu Apr 27 18:30:52 EDT 2017 from: https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
	City	State	Count (2015)	Census (2010)	Change	Land area (2014) [English]	Land area (2014) [SI]	Population density (2010) [English]	Population density (2010) [SI]	Location
112	Yonkers	New York	201,116	195,976	+2.62%	18.0 sq mi	46.7 km2	10,880 per sq mi	4,201 km−2	40.9459°N 73.8674°W
113	Glendale	California	201,020	191,719	+4.85%	30.5 sq mi	78.9 km2	6,295 per sq mi	2,431 km−2	34.1814°N 118.2458°W
114	Aurora	Illinois	200,661	197,899	+1.40%	44.9 sq mi	116.4 km2	4,404 per sq mi	1,700 km−2	41.7635°N 88.2901°W
115	Montgomery	Alabama	200,602	205,764	−2.51%	159.6 sq mi	413.3 km2	1,290 per sq mi	498 km−2	32.3463°N 86.2686°W
116	Columbus[23]	Georgia	200,579	189,885	+5.63%	216.4 sq mi	560.4 km2	878 per sq mi	339 km−2	32.5102°N 84.8749°W
117	Amarillo	Texas	198,645	190,695	+4.17%	99.5 sq mi	257.6 km2	1,917 per sq mi	740 km−2	35.1978°N 101.8287°W
118	Little Rock	Arkansas	197,992	193,524	+2.31%	119.2 sq mi	308.7 km2	1,624 per sq mi	627 km−2	34.7254°N 92.3586°W
119	Akron	Ohio	197,542	199,110	−0.79%	62.0 sq mi	160.7 km2	3,210 per sq mi	1,239 km−2	41.0805°N 81.5214°W
120	Shreveport	Louisiana	197,204	199,311	−1.06%	105.4 sq mi	272.9 km2	1,891 per sq mi	730 km−2	32.4670°N 93.7927°W
121	Augusta[24]	Georgia	197,182	195,844	+0.68%	302.5 sq mi	783.4 km2	647 per sq mi	250 km−2	33.3655°N 82.0734°W
122	Grand Rapids	Michigan	195,097	188,040	+3.75%	44.4 sq mi	115.0 km2	4,236 per sq mi	1,635 km−2	42.9612°N 85.6556°W
123	Mobile	Alabama	194,288	195,111	−0.42%	139.1 sq mi	360.3 km2	1,403 per sq mi	542 km−2	30.6684°N 88.1002°W
124	Salt Lake City	Utah	192,672	186,440	+3.34%	111.1 sq mi	287.8 km2	1,678 per sq mi	648 km−2	40.7785°N 111.9314°W
125	Huntsville	Alabama	190,582	180,105	+5.82%	209.1 sq mi	541.4 km2	862 per sq mi	333 km−2	34.7843°N 86.5390°W
126	Tallahassee	Florida	189,907	181,376	+4.70%	100.2 sq mi	259.6 km2	1,809 per sq mi	699 km−2	30.4551°N 84.2534°W
127	Grand Prairie	Texas	187,809	175,396	+7.08%	72.1 sq mi	186.8 km2	2,433 per sq mi	939 km−2	32.6842°N 97.0210°W
128	Overland Park	Kansas	186,515	173,372	+7.58%	74.8 sq mi	193.8 km2	2,317 per sq mi	894 km−2	38.8890°N 94.6906°W
129	Knoxville	Tennessee	185,291	178,874	+3.59%	98.5 sq mi	255.2 km2	1,816 per sq mi	701 km−2	35.9709°N 83.9465°W
130	Worcester	Massachusetts	184,815	181,045	+2.08%	37.4 sq mi	96.8 km2	4,845 per sq mi	1,870 km−2	42.2695°N 71.8078°W
131	Brownsville	Texas	183,887	175,023	+5.06%	132.3 sq mi	342.7 km2	1,323 per sq mi	511 km−2	26.0183°N 97.4538°W
